X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,詳細情報,カテゴリ,アイコン番号,施設ID
135.4523807,34.70454592,姫島公園　公衆トイレ,ひめじまこうえん　こうしゅうといれ,姫島公園　公衆トイレ（ひめじまこうえん　こうしゅうといれ）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29579
135.443292,34.705688,大和田中央公園　公衆トイレ,おおわだちゅうおうこうえん　こうしゅうといれ,大和田中央公園　公衆トイレ（おおわだちゅうおうこうえん　こうしゅうといれ）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29589
135.4345038,34.71112536,佃公園　公衆トイレ,つくだこうえん　こうしゅうといれ,佃公園　公衆トイレ（つくだこうえん　こうしゅうといれ）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29577
135.4512414,34.70610342,西淀公園　公衆トイレ,にしよどこうえん　こうしゅうといれ,西淀公園　公衆トイレ（にしよどこうえん　こうしゅうといれ）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29586
135.4830263,34.701422,浦江公園　公衆トイレ,うらえこうえん　こうしゅうといれ,浦江公園　公衆トイレ（うらえこうえん　こうしゅうといれ）,,北区,,公衆トイレ/車いす対応公衆便所,209,29478
135.486205,34.70064725,神福島北公園　公衆トイレ,かみふくしまきたこうえん　こうしゅうといれ,神福島北公園　公衆トイレ（かみふくしまきたこうえん　こうしゅうといれ）,,福島区,,公衆トイレ/車いす対応公衆便所,209,29503
135.4487459,34.71390075,佃ふれあい公園　公衆トイレ,つくだふれあいこうえん　こうしゅうといれ,佃ふれあい公園　公衆トイレ（つくだふれあいこうえん　こうしゅうといれ）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29592
135.4574452,34.71770981,御幣島東公園　公衆トイレ,みてじまひがしこうえん　こうしゅうといれ,御幣島東公園　公衆トイレ（みてじまひがしこうえん　こうしゅうといれ）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29590
135.449039,34.72733081,竹島西公園　公衆トイレ,たけしまにしこうえん　こうしゅうといれ,竹島西公園　公衆トイレ（たけしまにしこうえん　こうしゅうといれ）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29583
135.4591902,34.72482756,加島南公園　公衆トイレ,かしまみなみこうえん　こうしゅうといれ,加島南公園　公衆トイレ（かしまみなみこうえん　こうしゅうといれ）,,淀川区,,公衆トイレ/車いす対応公衆便所,209,29603
135.460064,34.71552306,大野川遊歩道,おおのがわゆうほどう,大野川遊歩道（おおのがわゆうほどう）,,西淀川区,便器数　　男性用　和：１　小：２　　女性用　和：２　　車椅子対応：１,公衆トイレ/車いす対応公衆便所,209,29435
